latitude,longitude,withinContinent,within1mile,location
45.7331,-111.1509,1,1,Montana
43.13,-90.2143,1,1,Wyoming
49.2189,-118.8837,0,1,Canada
37.0907,-123.4754,0,0,Pacific
27.6904,-83.577,0,1,Atlantic
49.681,-93.6907,0,1,Canada
32.8624,-102.2598,1,1,Texas
45.5245,-107.3796,1,1,Montana
49.6475,-124.7411,0,1,Canada
28.9741,-67.0807,0,1,Atlantic
45.1829,-71.0418,1,1,Maine
48.1736,-117.1589,1,1,Washington
35.4331,-89.8017,1,1,Tennessee
30.5464,-102.2562,1,1,Texas
25.1387,-88.7119,0,1,Atlantic
37.9331,-88.0944,1,1,Illinois
40.2086,-119.4548,1,0,Nevada
28.7526,-116.9448,0,0,Pacific
48.9137,-94.8531,1,0,Lake
39.2265,-115.9167,1,1,Nevada
38.4918,-108.758,1,1,Colorado
31.2231,-104.5264,1,0,Texas
44.9239,-93.0613,1,1,Minnesota
48.053,-92.1162,1,0,Minnesota
48.5999,-111.6418,1,1,Montana
35.1693,-90.1555,1,1,Arkansas
47.3476,-100.4671,1,1,North Dakota
26.5218,-91.6026,0,0,Atlantic
33.8634,-117.1472,1,0,California
26.4772,-101.3605,0,1,Mexico
29.3902,-111.3815,0,0,Mexico
32.0638,-74.4581,0,0,Atlantic
37.9572,-90.0919,1,1,Missouri
38.1195,-123.9259,0,0,Pacific
49.0539,-87.2323,0,1,Canada
32.5595,-124.8972,0,0,Pacific
48.6467,-112.1303,1,1,Montana
38.8924,-67.3378,0,0,Pacific
33.4187,-80.8081,1,1,Virginia
39.4347,-73.3149,0,0,Atlantic
31.8651,-68.057,0,0,Atlantic
27.3102,-81.9456,1,1,Florida
35.6259,-107.0172,1,1,New Mexico
32.7907,-118.4124,0,0,Pacific
46.5562,-87.201,0,0,Lake
44.094,-82.7886,0,0,Lake
39.3025,-118.6468,1,1,Nevada
25.6614,-117.6115,0,0,Pacific
30.58,-88.7656,1,1,Mississippi
40.319,-109.4499,1,1,Utah
28.9862,-82.269,1,1,Florida
43.7129,-117.3844,1,1,Oregon
28.8247,-105.5123,0,0,Mexico
25.0754,-105.7036,0,1,Mexico
33.6266,-91.7841,1,1,Arkansas
36.5996,-68.8374,0,0,Atlantic
26.6293,-68.801,0,0,Atlantic
43.2739,-102.689,1,1,South Dakota
25.4525,-68.422,0,0,Atlantic
27.5266,-73.5008,0,0,Atlantic
44.8504,-122.9104,1,1,Oregon
26.6548,-84.9259,0,0,Atlantic
34.5135,-68.9256,0,0,Atlantic
49.9475,-116.8787,0,1,Canada
29.3237,-69.8936,0,0,Atlantic
26.2106,-109.5589,0,0,Pacific
38.8579,-107.8093,1,1,Colorado
27.4877,-107.357,0,0,Mexico
38.6043,-84.2184,1,1,Ohio
32.6049,-99.1026,1,1,Texas
36.7022,-75.64,0,0,Atlantic
36.6854,-108.1148,1,1,New Mexico
31.6471,-91.5387,1,1,Louisiana
41.7964,-107.2877,1,1,Wyoming
34.9122,-101.9981,1,1,Texas
35.6205,-74.7573,0,0,Atlantic
34.4592,-85.8429,1,1,Alabama
47.6,-76.9989,0,0,Canada
44.2861,-67.3186,0,0,Atlantic
40.1746,-116.4925,1,1,Nevada
35.3053,-80.9545,1,1,North Carolina
33.4159,-65.8922,0,0,Atlantic
44.9171,-116.1281,1,1,Idaho
39.7688,-89.2797,1,1,Illinois
45.4314,-72.4518,0,1,Canada
26.3044,-81.2022,1,1,Florida
34.3829,-82.0532,1,1,South Carolina
35.4247,-78.4376,1,1,North Carolina
32.5842,-114.5239,1,0,California
35.9815,-83.4696,1,1,Tennessee
32.9807,-67.2184,0,0,Atlantic
32.954,-110.8318,1,1,Arizona
27.9789,-96.6101,0,0,Atlantic
33.5887,-106.741,1,1,New Mexico
27.0865,-99.5389,0,1,Mexico
34.7535,-67.3859,0,0,Atlantic
31.6583,-69.8512,0,0,Atlantic
28.1034,-109.5384,0,1,Mexico
32.923,-103.3239,1,1,New Mexico
34.327,-85.3816,1,1,Georgia
43.937,-117.5481,1,0,Oregon
43.1288,-76.1438,1,1,New York
25.8169,-75.238,0,0,Atlantic
38.4909,-87.4174,1,1,Indiana
31.6229,-93.1086,1,1,Louisiana
25.912,-96.6975,0,0,Atlantic
46.2821,-88.6599,1,1,Wisconsin
27.8204,-95.6593,0,0,Atlantic
46.7098,-66.178,0,0,Canada
46.4653,-86.0982,1,1,Wisconsin
39.2832,-95.994,1,1,Kansas
29.3739,-121.621,0,0,Pacific
49.2499,-124.8164,0,1,Canada
32.8962,-74.8218,0,0,Atlantic
39.8515,-95.4723,1,1,Kansas
37.9209,-88.5058,1,1,Illinois
39.4782,-81.4648,1,1,Ohio
41.6899,-85.6177,1,1,Indiana
36.3736,-118.1178,1,0,California
33.5108,-80.4779,1,1,South Carolina
48.228,-89.125,0,0,Canada
46.60408,-113.81341,1,0,Montana
37.76332,-106.77055,1,1,Colorado
35.01036,-68.85007,0,0,Atlantic
25.57953,-91.27931,0,0,Atlantic
46.6228,-88.3287,1,0,Michigan
35.02034,-116.6997,1,1,California
32.73302,-116.5258,1,0,California
39.38811,-122.41462,1,1,California
47.26873,-114.58603,1,0,Montana
41.34803,-66.14334,0,0,Atlantic
37.56788,-74.27768,0,0,Atlantic
33.30686,-113.70406,1,1,Arizona
45.87834,-77.14855,0,1,Canada
42.76191,-124.16677,1,1,Oregon
38.4441,-122.54947,1,1,California
49.36001,-107.23093,0,1,Canada
42.27535,-72.8422,1,1,Massachussetts
29.15593,-66.61312,0,0,Atlantic
47.01893,-93.53643,1,1,Minnesota
48.85475,-99.57183,1,1,North Dakota
45.2327,-71.9506,0,1,Canada
29.9966,-69.7962,0,0,Atlantic 
48.04,-103.4394,1,1,North Dakota 
37.1354,-70.2102,0,0,Atlantic 
26.805,-100.2405,0,0,Mexico 
40.4033,-84.1329,1,1,Ohio
26,-65.2117,0,0,Atlantic 
37.0758,-85.4417,1,1,Kentucky 
27.4881,-94.2407,0,0,Atlantic
37.2701,-108.8692,1,0,Colorado
31.8926,-75.763,0,0,Atlantic 
31.408,-93.5128,1,1,Lousiana 
25.4843,-117.6927,0,0,Pacific 
26.938,-109.9598,0,0,Pacific 
46.8001,-105.6443,1,1,Montana
30.2243,-73.2787,0,0,Atlantic 
35.7553,-65.7338,0,0,Atlantic 
36.583,-94.2953,1,1,Missouri
35.0537,-99.4017,1,1,Oklahoma
35.0061,-100.6561,1,0,Texas
