team,player,wage,choice
Detroit Pistons,Andy,6,UNDER
Detroit Pistons,Chester,14,OVER
Detroit Pistons,Jake,8,UNDER
Detroit Pistons,Jenelle,15,OVER
Detroit Pistons,Mary,13,OVER
Detroit Pistons,Mike,14,OVER
Detroit Pistons,Phil,8,UNDER
Detroit Pistons,Ryan,6,UNDER
Indiana Pacers,Adonis,9,UNDER
Indiana Pacers,Andy,7,OVER
Indiana Pacers,Chester,8,UNDER
Indiana Pacers,Jake,10,OVER
Indiana Pacers,Jenelle,13,UNDER
Indiana Pacers,Mary,10,UNDER
Indiana Pacers,Mike,6,OVER
Indiana Pacers,Phil,12,UNDER
Indiana Pacers,Ryan,8,OVER
Miami Heat,Adonis,15,OVER
Miami Heat,Andy,8,OVER
Miami Heat,Chester,10,UNDER
Miami Heat,Jake,12,OVER
Miami Heat,Jenelle,11,UNDER
Miami Heat,Mary,15,OVER
Miami Heat,Mike,8,UNDER
Miami Heat,Phil,6,OVER
Miami Heat,Ryan,12,UNDER
Milwaukee Bucks,Adonis,11,OVER
Milwaukee Bucks,Andy,14,OVER
Milwaukee Bucks,Chester,11,OVER
Milwaukee Bucks,Jake,11,OVER
Milwaukee Bucks,Jenelle,13,OVER
Milwaukee Bucks,Mary,12,OVER
Milwaukee Bucks,Mike,13,OVER
Milwaukee Bucks,Phil,8,OVER
Milwaukee Bucks,Ryan,15,OVER
New York Knicks,Adonis,15,UNDER
New York Knicks,Andy,10,OVER
New York Knicks,Chester,7,UNDER
New York Knicks,Jake,12,OVER
New York Knicks,Jenelle,11,OVER
New York Knicks,Mary,10,OVER
New York Knicks,Mike,9,OVER
New York Knicks,Phil,13,OVER
New York Knicks,Ryan,10,UNDER
Orlando Magic,Adonis,9,UNDER
Orlando Magic,Andy,8,OVER
Orlando Magic,Chester,14,OVER
Orlando Magic,Jake,9,UNDER
Orlando Magic,Jenelle,7,OVER
Orlando Magic,Mary,8,OVER
Orlando Magic,Mike,8,UNDER
Orlando Magic,Phil,11,OVER
Orlando Magic,Ryan,8,UNDER
Philadelphia 76ers,Adonis,6,UNDER
Philadelphia 76ers,Andy,11,OVER
Philadelphia 76ers,Chester,9,UNDER
Philadelphia 76ers,Jake,10,UNDER
Philadelphia 76ers,Jenelle,6,UNDER
Philadelphia 76ers,Mary,7,UNDER
Philadelphia 76ers,Mike,6,OVER
Philadelphia 76ers,Phil,12,OVER
Philadelphia 76ers,Ryan,15,OVER
Washington Wizards,Adonis,13,UNDER
Washington Wizards,Andy,10,UNDER
Washington Wizards,Chester,6,OVER
Washington Wizards,Jake,6,UNDER
Washington Wizards,Jenelle,9,UNDER
Washington Wizards,Mary,7,OVER
Washington Wizards,Mike,9,UNDER
Washington Wizards,Phil,11,OVER
Washington Wizards,Ryan,6,OVER
Toronto Raptors,Adonis,8,UNDER
Toronto Raptors,Andy,7,UNDER
Toronto Raptors,Chester,11,OVER
Toronto Raptors,Jake,6,UNDER
Toronto Raptors,Jenelle,11,OVER
Toronto Raptors,Mary,13,OVER
Toronto Raptors,Mike,9,UNDER
Toronto Raptors,Phil,14,OVER
Toronto Raptors,Ryan,10,OVER
Dallas Mavericks,Adonis,14,OVER
Dallas Mavericks,Andy,15,OVER
Dallas Mavericks,Chester,15,OVER
Dallas Mavericks,Jake,7,OVER
Dallas Mavericks,Jenelle,13,OVER
Dallas Mavericks,Mary,6,UNDER
Dallas Mavericks,Mike,7,UNDER
Dallas Mavericks,Phil,9,OVER
Dallas Mavericks,Ryan,13,OVER
Denver Nuggets,Adonis,7,OVER
Denver Nuggets,Andy,13,UNDER
Denver Nuggets,Chester,14,OVER
Denver Nuggets,Jake,14,OVER
Denver Nuggets,Jenelle,8,OVER
Denver Nuggets,Mary,15,OVER
Denver Nuggets,Mike,6,OVER
Denver Nuggets,Phil,9,UNDER
Denver Nuggets,Ryan,9,OVER
Golden State Warriors,Adonis,11,OVER
Golden State Warriors,Andy,13,OVER
Golden State Warriors,Chester,12,OVER
Golden State Warriors,Jake,7,UNDER
Golden State Warriors,Jenelle,8,UNDER
Golden State Warriors,Mary,11,OVER
Golden State Warriors,Mike,10,OVER
Golden State Warriors,Phil,10,OVER
Golden State Warriors,Ryan,15,OVER
Houston Rockets,Adonis,9,UNDER
Houston Rockets,Andy,10,UNDER
Houston Rockets,Chester,8,OVER
Houston Rockets,Jake,6,UNDER
Houston Rockets,Jenelle,7,UNDER
Houston Rockets,Mary,14,UNDER
Houston Rockets,Mike,10,OVER
Houston Rockets,Phil,10,UNDER
Houston Rockets,Ryan,8,OVER
Los Angeles Clippers,Adonis,12,OVER
Los Angeles Clippers,Andy,12,UNDER
Los Angeles Clippers,Chester,12,OVER
Los Angeles Clippers,Jake,8,UNDER
Los Angeles Clippers,Jenelle,6,UNDER
Los Angeles Clippers,Mary,7,UNDER
Los Angeles Clippers,Mike,10,OVER
Los Angeles Clippers,Phil,7,UNDER
Los Angeles Clippers,Ryan,13,OVER
Los Angeles Lakers,Adonis,7,OVER
Los Angeles Lakers,Andy,9,OVER
Los Angeles Lakers,Chester,13,UNDER
Los Angeles Lakers,Jake,13,UNDER
Los Angeles Lakers,Jenelle,10,UNDER
Los Angeles Lakers,Mary,11,UNDER
Los Angeles Lakers,Mike,12,UNDER
Los Angeles Lakers,Phil,13,UNDER
Los Angeles Lakers,Ryan,11,UNDER
Memphis Grizzlies,Adonis,11,OVER
Memphis Grizzlies,Andy,12,UNDER
Memphis Grizzlies,Chester,13,OVER
Memphis Grizzlies,Jake,8,OVER
Memphis Grizzlies,Jenelle,12,UNDER
Memphis Grizzlies,Mary,12,OVER
Memphis Grizzlies,Mike,8,UNDER
Memphis Grizzlies,Phil,14,OVER
Memphis Grizzlies,Ryan,7,UNDER
Minnesota Timberwolves,Adonis,8,OVER
Minnesota Timberwolves,Andy,9,UNDER
Minnesota Timberwolves,Chester,8,OVER
Minnesota Timberwolves,Jake,13,UNDER
Minnesota Timberwolves,Jenelle,12,OVER
Minnesota Timberwolves,Mary,14,OVER
Minnesota Timberwolves,Mike,11,OVER
Minnesota Timberwolves,Phil,13,UNDER
Minnesota Timberwolves,Ryan,10,OVER
New Orleans Pelicans,Adonis,14,OVER
New Orleans Pelicans,Andy,6,UNDER
New Orleans Pelicans,Chester,15,OVER
New Orleans Pelicans,Jake,7,OVER
New Orleans Pelicans,Jenelle,10,UNDER
New Orleans Pelicans,Mary,6,UNDER
New Orleans Pelicans,Mike,12,OVER
New Orleans Pelicans,Phil,6,OVER
New Orleans Pelicans,Ryan,7,OVER
Oklahoma City Thunder,Adonis,15,UNDER
Oklahoma City Thunder,Andy,11,OVER
Oklahoma City Thunder,Chester,9,OVER
Oklahoma City Thunder,Jake,11,OVER
Oklahoma City Thunder,Jenelle,7,OVER
Oklahoma City Thunder,Mary,10,UNDER
Oklahoma City Thunder,Mike,15,UNDER
Oklahoma City Thunder,Phil,11,OVER
Oklahoma City Thunder,Ryan,14,UNDER
Phoenix Suns,Adonis,6,UNDER
Phoenix Suns,Andy,13,OVER
Phoenix Suns,Chester,6,UNDER
Phoenix Suns,Jake,10,OVER
Phoenix Suns,Jenelle,14,OVER
Phoenix Suns,Mary,9,OVER
Phoenix Suns,Mike,12,OVER
Phoenix Suns,Phil,12,OVER
Phoenix Suns,Ryan,14,OVER
Portland Trail Blazers,Adonis,10,UNDER
Portland Trail Blazers,Andy,14,OVER
Portland Trail Blazers,Chester,10,OVER
Portland Trail Blazers,Jake,13,UNDER
Portland Trail Blazers,Jenelle,9,OVER
Portland Trail Blazers,Mary,11,UNDER
Portland Trail Blazers,Mike,13,UNDER
Portland Trail Blazers,Phil,15,OVER
Portland Trail Blazers,Ryan,13,OVER
Sacramento Kings,Adonis,14,UNDER
Sacramento Kings,Andy,15,OVER
Sacramento Kings,Chester,9,UNDER
Sacramento Kings,Jake,12,OVER
Sacramento Kings,Jenelle,9,UNDER
Sacramento Kings,Mary,8,OVER
Sacramento Kings,Mike,14,OVER
Sacramento Kings,Phil,6,UNDER
Sacramento Kings,Ryan,7,OVER
San Antonio Spurs,Adonis,12,OVER
San Antonio Spurs,Andy,14,OVER
San Antonio Spurs,Chester,7,OVER
San Antonio Spurs,Jake,14,OVER
San Antonio Spurs,Jenelle,6,OVER
San Antonio Spurs,Mary,8,OVER
San Antonio Spurs,Mike,7,UNDER
San Antonio Spurs,Phil,7,OVER
San Antonio Spurs,Ryan,9,UNDER
Utah Jazz,Adonis,12,UNDER
Utah Jazz,Andy,8,UNDER
Utah Jazz,Chester,13,UNDER
Utah Jazz,Jake,15,OVER
Utah Jazz,Jenelle,14,UNDER
Utah Jazz,Mary,9,OVER
Utah Jazz,Mike,13,UNDER
Utah Jazz,Phil,8,UNDER
Utah Jazz,Ryan,11,UNDER
