state,county,black_perc
Arkansas,Franklin County,0.9546943848152751
Arkansas,Fulton County,0.6309406751884629
Arkansas,Garland County,8.735606161951901
Arkansas,Grant County,3.0604353110153575
Arkansas,Greene County,1.2806588831568468
Arkansas,Hempstead County,29.88589023727586
Arkansas,Hot Spring County,11.556871896128762
Arkansas,Howard County,21.43609022556391
Arkansas,Independence County,2.2832775558674294
Arkansas,Izard County,1.8891781331349944
Arkansas,Jackson County,17.74714499942323
Arkansas,Jefferson County,55.41815133095787
Arkansas,Johnson County,2.199609808347041
Arkansas,Lafayette County,36.74957118353345
Arkansas,Lawrence County,0.9893319029739556
Arkansas,Lee County,53.6580310880829
Arkansas,Lincoln County,30.260492040520987
Arkansas,Little River County,20.020846696600387
Arkansas,Logan County,1.5473887814313347
Arkansas,Lonoke County,6.159536604089609
